Subject,Start Date,Start Time,End Date,All Day Event,Description,Location,Private
【AWAY】 第1節 ガンバ大阪,2019/2/23,15:00,,,,パナスタ,
【Home】 第2節 ベガルタ仙台,2019/3/2,13:00,,,,日産ス,
【Home】 第3節 川崎フロンターレ,2019/3/10,14:00,,,,日産ス,
【AWAY】 第4節 大分トリニータ,2019/3/17,16:00,,,,昭和電ド,
【Home】 第5節 サガン鳥栖,2019/3/29,19:30,,,,日産ス,
【AWAY】 第6節 浦和レッズ,2019/4/5,19:30,,,,埼玉,
【Home】 第7節 名古屋グランパス,2019/4/13,19:00,,,,日産ス,
【AWAY】 第8節 北海道コンサドーレ札幌,2019/4/20,13:00,,,,札幌ド,
【Home】 第9節 鹿島アントラーズ,2019/4/28,13:00,,,,日産ス,
【AWAY】 第10節 サンフレッチェ広島,2019/5/3,14:00,,,,Eスタ,
【AWAY】 第11節 セレッソ大阪,2019/5/11,15:00,,,,ヤンマー,
【Home】 第12節 ヴィッセル神戸,2019/5/18,14:00,,,,日産ス,
【Home】 第13節 ジュビロ磐田,2019/5/26,13:00,,,,日産ス,
【AWAY】 第14節 湘南ベルマーレ,2019/5/31,19:00,,,,BMWス,
【AWAY】 第15節 清水エスパルス,2019/6/15,18:00,,,,アイスタ,
【Home】 第16節 松本山雅FC,2019/6/22,18:00,,,,日産ス,
【AWAY】 第17節 FC東京,2019/6/29,19:00,,,,味スタ,
【Home】 第18節 大分トリニータ,2019/7/6,19:00,,,,ニッパツ,
【Home】 第19節 浦和レッズ,2019/7/13,19:00,,,,日産ス,
【AWAY】 第20節 ヴィッセル神戸,2019/7/20,18:00,,,,ノエスタ,
【Home】 第21節 清水エスパルス,2019/8/3,19:00,,,,日産ス,
【AWAY】 第22節 鹿島アントラーズ,2019/8/10,18:30,,,,カシマ,
【Home】 第23節 セレッソ大阪,2019/8/17,19:00,,,,日産ス,
【AWAY】 第24節 名古屋グランパス,2019/8/24,18:00,,,,パロ瑞穂,
【Home】 第25節 ガンバ大阪,2019/8/31,19:00,,,,ニッパツ,
【Home】 第26節 サンフレッチェ広島,2019/9/14,,,,,ニッパツ,
【AWAY】 第27節 ベガルタ仙台,2019/9/28,,,,,ユアスタ,
【AWAY】 第28節 ジュビロ磐田,2019/10/5,,,,,ヤマハ,
【Home】 第29節 湘南ベルマーレ,2019/10/19,,,,,ニッパツ,
【AWAY】 第30節 サガン鳥栖,2019/11/1,,,,,駅スタ,
【Home】 第31節 北海道コンサドーレ札幌,2019/11/8,,,,,ニッパツ,
【AWAY】 第32節 松本山雅FC,2019/11/23,,,,,サンアル,
【AWAY】 第33節 川崎フロンターレ,2019/11/30,,,,,等々力,
【Home】 第34節 FC東京,2019/12/7,,,,,日産ス,
【Home】 グループステージ 第1節 北海道コンサドーレ札幌,2019/3/6,19:30,,,,ニッパツ,
【AWAY】 グループステージ 第2節 湘南ベルマーレ,2019/3/13,19:00,,,,BMWス,
【Home】 グループステージ 第3節 Ｖ･ファーレン長崎,2019/4/10,19:30,,,,ニッパツ,
【Home】 グループステージ 第4節 湘南ベルマーレ,2019/4/24,19:30,,,,ニッパツ,
【AWAY】 グループステージ 第5節 北海道コンサドーレ札幌,2019/5/8,19:00,,,,札幌厚別,
【AWAY】 グループステージ 第6節 Ｖ･ファーレン長崎,2019/5/22,19:00,,,,トラスタ,
【OTHER】 2回戦 未定,2019/7/3,19:00,,,,トラスタ,
